case,cohort,uma,deck,base_seed,run,variant,rule_seed,score,skill_pt,rmj_ok,free_race_ok,friend_all,five,error
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,7,ptblend200-capd0-rgn1-supermode3,3058402553995587352,66954,8758,3,true,true,3337/2212/1441/1319/1964,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,7,ptblend200-capd0-rgn1-supermode1,3058402553995587352,66954,8758,3,true,true,3337/2212/1441/1319/1964,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,8,base,3735291524414723544,65894,8293,3,true,true,3337/2400/1211/1561/1612,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,8,ptblend200,3735291524414723544,65478,8314,3,true,true,3337/2400/1323/1561/1426,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,8,ptblend200-capd0-rgn1,3735291524414723544,65478,8314,3,true,true,3337/2400/1323/1561/1426,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,8,ptblend200-capd0-rgn1-supermode3,3735291524414723544,65478,8314,3,true,true,3337/2400/1323/1561/1426,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,8,ptblend200-capd0-rgn1-supermode1,3735291524414723544,65478,8314,3,true,true,3337/2400/1323/1561/1426,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,9,base,12531023380063193203,68077,8579,3,true,true,3337/2400/1125/1840/1819,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,9,ptblend200,12531023380063193203,65581,8425,3,true,true,3337/2400/1185/1782/1417,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,9,ptblend200-capd0-rgn1,12531023380063193203,65581,8425,3,true,true,3337/2400/1185/1782/1417,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,9,ptblend200-capd0-rgn1-supermode3,12531023380063193203,65581,8425,3,true,true,3337/2400/1185/1782/1417,
stamina,preset,106402,302754/303124/303044/302814/303064/303054,917822000,9,ptblend200-capd0-rgn1-supermode1,12531023380063193203,66189,8479,3,true,true,3337/2400/1185/1867/1417,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,0,base,10025791034116697925,57899,7718,3,true,true,2061/2149/2200/579/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,0,ptblend200,10025791034116697925,59071,7950,3,true,true,2243/2059/2200/604/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,0,ptblend200-capd0-rgn1,10025791034116697925,59071,7950,3,true,true,2243/2059/2200/604/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,0,ptblend200-capd0-rgn1-supermode3,10025791034116697925,59071,7950,3,true,true,2243/2059/2200/604/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,0,ptblend200-capd0-rgn1-supermode1,10025791034116697925,59071,7950,3,true,true,2243/2059/2200/604/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,1,base,2039672500654443524,60447,7871,3,true,true,2208/2303/2200/623/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,1,ptblend200,2039672500654443524,60447,7871,3,true,true,2208/2303/2200/623/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,1,ptblend200-capd0-rgn1,2039672500654443524,60447,7871,3,true,true,2208/2303/2200/623/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,1,ptblend200-capd0-rgn1-supermode3,2039672500654443524,60447,7871,3,true,true,2208/2303/2200/623/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,1,ptblend200-capd0-rgn1-supermode1,2039672500654443524,60447,7871,3,true,true,2208/2303/2200/623/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,2,base,10535465040819047840,57989,7579,3,true,true,2075/2179/2200/642/2445,
power_wisdom,preset,106402,303144/302834/303064/302894/302684/303054,917823000,2,ptblend200,10535465040819047840,57989,7579,3,true,true,2075/2179/2200/642/2445,
